Trial,Bandit,Reward,Algorithm
858,4,0.4,ThompsonSampling
859,4,0.4,ThompsonSampling
860,4,0.4,ThompsonSampling
861,4,0,ThompsonSampling
862,4,0,ThompsonSampling
863,4,0,ThompsonSampling
864,4,0,ThompsonSampling
865,4,0.4,ThompsonSampling
866,4,0,ThompsonSampling
867,4,0.4,ThompsonSampling
868,4,0.4,ThompsonSampling
869,4,0.4,ThompsonSampling
870,4,0.4,ThompsonSampling
871,4,0.4,ThompsonSampling
872,4,0.4,ThompsonSampling
873,4,0,ThompsonSampling
874,4,0,ThompsonSampling
875,4,0,ThompsonSampling
876,4,0,ThompsonSampling
877,4,0,ThompsonSampling
